toko,nama_barang,ulasan,rating
ismile-indonesia,,Tebal,5
ismile-indonesia,Pgytech MagGlow Phone Fill Light For SmartPhone,Good Seller! Super fast delivery! And awesome product!!!,5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,good,4
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,Garansi ******,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"barang sudah mendarat, terima kasih di tunggu promonya",5
ismile-indonesia,[ iSmile x Irvan Galih ] Apple iPhone 13 128GB Garansi Resmi,Mantap original,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"Barang aslii, Pengiriman lumayan cepat, seller fast response",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Order Kedua kalinya di Seller ini.
Produk Original, Kode Unit GDN, Pengiriman Cepat.",5
ismile-indonesia,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,"HPnya lumayan panas ga tau kenapa, padahal baru dan garansi resmi🙄

selain itu semuanya bagus dan aman.",5
ismile-indonesia,,"okesih, udah pembelian kedua di toko ini. sebelumnya beli ip disini juga alhamdulillah aman karena dibungkus wrap super duper tebel. admin nya juga enak gercep, salut sih...",5
ismile-indonesia,Apple iPad Air M2 (Gen 6) 11 inci Wifi 128GB 256GB 512GB 1TB Garansi Resmi,"okesih, udah pembelian kedua di toko ini. sebelumnya beli ip disini juga alhamdulillah aman karena dibungkus wrap super duper tebel. admin nya juga enak gercep, salut sih...",5
ismile-indonesia,"Apple Magic Keyboard for iPad Pro M4 11"" 13"" Inci Garansi Resmi","okesih, udah pembelian kedua di toko ini. sebelumnya beli ip disini juga alhamdulillah aman karena dibungkus wrap super duper tebel. admin nya juga enak gercep, salut sih...",5
ismile-indonesia,,"okesih, udah pembelian kedua di toko ini. sebelumnya beli ip disini juga alhamdulillah aman karena dibungkus wrap super duper tebel. admin nya juga enak gercep, salut sih...",5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,Barang sampai dengan selamat. Admin ramah. Repeat order,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,langganan hehe,5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,"alhamdulillah seneng banget waktu paket nyampe beneran, uda deg2 an karena bbrp review yg paket diganti sm kopi abc. untuk hp emg ori dri appel dan garansi new. sempga hp...",5
ismile-indonesia,Apple AirPods 4 with Active Noise Cancellation,"Barang diterima sesuai deskripsi. Sudah dipake beberapa hari, berjalan sesuai fungsi. Minusnya ga support wireless charge, jadi harus rebutan sama device yg lain. Overall...",5
ismile-indonesia,[ iSmile x Irvan Galih ] Apple iPhone 13 128GB Garansi Resmi,Gud barang ori. Pengiriman ajaa yg lamaa,4
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,bagus barangnya dapat garansi digimap,5
